group,root,name,type,size,dimensions,units,notes,schema_version
general attribute,ROOT,event_id,string,scalar,,-,Unique identifier for this train passage event,v1
general attribute,ROOT,site_id,string,scalar,,-,Site name,v1
general attribute,ROOT,event_t0_utc,string (ISO UTC),scalar,,-,Shared event reference time for all modalities,v1
general attribute,ROOT,created_utc,string (ISO UTC),scalar,,-,NetCDF creation timestamp,v1
general attribute,ROOT,pipeline_version,string,scalar,,-,Pipeline version from config,v1
general attribute,ROOT,software_git_hash,string,scalar,,-,Currently set to N/A,v1
query attribute,ROOT,query_start_date,string,scalar,,-,Only when metadata inclusion is enabled,v1
query attribute,ROOT,query_end_date,string,scalar,,-,Only when metadata inclusion is enabled,v1
query attribute,ROOT,query_train_type_filter,string,scalar,,-,Filter used to fetch events,v1
query attribute,ROOT,query_track_filter,string,scalar,,-,Filter used to fetch events,v1
query attribute,ROOT,query_timezone,string,scalar,,-,Time basis used during query,v1
dimension,ROOT,acc_axis,int dimension,3,acc_axis,-,Fixed accelerometer axis count,v1
dimension,ROOT,fo_channel,int dimension,N_fo_channel,fo_channel,-,Present only when FO data exists,v1
variable,ROOT/meta_acc,train_type,string,scalar,,-,Train classification,v1
variable,ROOT/meta_acc,event_start_offset_s,float32,scalar,,s,Event start offset relative to event_t0_utc,v1
variable,ROOT/meta_acc,event_end_offset_s,float32,scalar,,s,Event end offset relative to event_t0_utc,v1
variable,ROOT/meta_acc,train_speed_kmh,float32,scalar,,km/h,Train speed from source DB,v1
variable,ROOT/meta_acc,track_number,int32,scalar,,-,Track number from source DB; missing_value = -1,v1
dimension,ROOT/geometry_acc,acc_sensor,int dimension,N_acc_sensor,acc_sensor,-,Number of accelerometer sensors in event,v1
variable,ROOT/geometry_acc,acc_sensor_id,string,N_acc_sensor,(acc_sensor),-,Stable sensor IDs such as MP1 or MP6,v1
variable,ROOT/geometry_acc,axis_labels,string,3,(acc_axis),-,Usually x y z,v1
variable,ROOT/geometry_acc,acc_distance_to_track_m,float32,N_acc_sensor,(acc_sensor),m,Sensor distance to track,v1
variable,ROOT/geometry_acc,acc_side_of_track,int8,N_acc_sensor,(acc_sensor),-,Convention: -1 left 0 unknown +1 right,v1
variable,ROOT/geometry_acc,axis_mask,int8,N_acc_sensor x 3,(acc_sensor; acc_axis),-,Global per-sensor axis availability mask,v1
dimension,ROOT/acc/<SENSOR_ID>,acc_time,int dimension,N_acc_time_sensor,acc_time,-,Time samples for this specific sensor,v1
variable,ROOT/acc/<SENSOR_ID>,time_s,float64,N_acc_time_sensor,(acc_time),s,Relative to event_t0_utc,v1
variable,ROOT/acc/<SENSOR_ID>,fs_hz,float32,scalar,,Hz,Sensor sampling frequency,v1
variable,ROOT/acc/<SENSOR_ID>,axis_mask,int8,3,(acc_axis),-,Per-sensor axis mask for this group,v1
