channel,longitude,latitude,pgv_4m_mms,pgv_12m_mms
101,6.44559175939828,52.288250790315,16.151,5.791
102,6.44559344739158,52.2882926710386,15.893,5.699
103,6.44561702133105,52.288261337914,15.392,5.519
104,6.44563552933263,52.2882469515919,14.91,5.346
105,6.44565133944256,52.2882415903779,15.599,5.593
106,6.44565492142166,52.2882771352552,16.138,5.786
107,6.44565711016211,52.2883173408569,15.721,5.637
108,6.44567065826036,52.2883195466258,14.542,5.214
109,6.4456842063586,52.2883217523946,15.532,5.569
110,6.44569771862736,52.2883240780219,14.34,5.142
111,6.44571118705573,52.288326550306,15.933,5.713
112,6.4457246554841,52.2883290225901,15.048,5.396
113,6.44573812391246,52.2883314948742,14.731,5.282
114,6.44575159234083,52.2883339671583,15.927,5.711
115,6.44576505440414,52.2883364607351,15.77,5.654
116,6.44577849308806,52.2883390325217,15.572,5.584
117,6.44579188688971,52.2883417544504,16.72,5.995
118,6.44580514002639,52.2883449469379,15.799,5.665
119,6.44581839316308,52.2883481394254,15.042,5.393
120,6.44583164629976,52.2883513319129,15.721,5.637
121,6.4458450955251,52.2883538684359,15.243,5.465
122,6.44585861435169,52.2883561721256,16.151,5.791
123,6.44587213317827,52.2883584758153,15.566,5.581
124,6.44588565200486,52.288360779505,15.619,5.6
125,6.44589917083144,52.2883630831948,14.542,5.214
126,6.44591268965803,52.2883653868845,15.421,5.529
127,6.44592620848462,52.2883676905742,15.347,5.503
128,6.44593967026445,52.2883701850993,14.773,5.297
129,6.44595318364731,52.2883725069996,15.24,5.464
130,6.44596669703017,52.2883748289,15.621,5.601
131,6.44598021041304,52.2883771508003,15.357,5.506
132,6.4459937237959,52.2883794727006,14.524,5.208
133,6.44600723717876,52.2883817946009,15.188,5.446
134,6.44602075056163,52.2883841165012,15.069,5.403
135,6.44603426394449,52.2883864384015,15.452,5.541
136,6.44604777732735,52.2883887603018,15.384,5.516
137,6.44606129071021,52.2883910822022,15.086,5.409
138,6.44607480409308,52.2883934041025,15.058,5.399
139,6.44608831747594,52.2883957260028,15.357,5.506
140,6.4461018308588,52.2883980479031,15.879,5.693
141,6.44611534424167,52.2884003698034,15.471,5.547
142,6.44612885762453,52.2884026917037,16.139,5.787
143,6.44614240882775,52.2884048870857,15.963,5.724
144,6.4461559627728,52.2884070732956,16.172,5.798
145,6.44616951671785,52.2884092595054,16.091,5.77
146,6.4461830706629,52.2884114457153,16.2,5.809
147,6.44619662460795,52.2884136319252,14.597,5.234
148,6.446210178553,52.288415818135,15.651,5.612
149,6.44622373249805,52.2884180043449,15.982,5.73
150,6.44623728644311,52.2884201905548,16.083,5.767
151,6.44625078280556,52.2884225693925,14.802,5.307
152,6.44626426385843,52.2884249994446,15.637,5.607
153,6.4462777449113,52.2884274294966,15.289,5.482
154,6.44629122596417,52.2884298595487,16.326,5.854
155,6.44630470701703,52.2884322896007,14.419,5.17
156,6.4463181880699,52.2884347196528,14.777,5.299
157,6.44633166912277,52.2884371497049,14.16,5.077
158,6.44634515017564,52.2884395797569,15.305,5.488
159,6.44635863122851,52.288442009809,16.547,5.933
160,6.44637211228138,52.2884444398611,15.184,5.445
161,6.44638559333425,52.2884468699131,15.265,5.473
162,6.44639907438712,52.2884492999652,15.525,5.567
163,6.44641255543999,52.2884517300172,15.128,5.424
164,6.44642603682046,52.2884541589734,15.407,5.524
165,6.44643955150667,52.2884564765137,15.418,5.528
166,6.44645306619287,52.288458794054,14.686,5.266
167,6.44646658087908,52.2884611115943,15.124,5.423
168,6.44648009556528,52.2884634291346,15.611,5.597
169,6.44649361025148,52.288465746675,15.717,5.635
170,6.44650712493769,52.2884680642153,15.93,5.712
171,6.44652063962389,52.2884703817556,15.36,5.507
172,6.4465341543101,52.2884726992959,15.368,5.51
173,6.4465476689963,52.2884750168362,15.596,5.592
174,6.4465611836825,52.2884773343766,14.801,5.307
175,6.44657469836871,52.2884796519169,14.774,5.297
176,6.44658821305491,52.2884819694572,15.071,5.404
177,6.44660171918799,52.2884843156098,14.391,5.16
178,6.44661521586491,52.2884866933956,15.377,5.513
179,6.44662871254184,52.2884890711814,15.751,5.648
180,6.44664220921876,52.2884914489671,14.714,5.276
181,6.44665570589569,52.2884938267529,15.384,5.516
182,6.44666920455036,52.2884961979226,14.756,5.291
183,6.44668271187051,52.2884985401042,14.525,5.208
184,6.44669621919066,52.2885008822858,16.329,5.855
185,6.44670972651081,52.2885032244673,14.528,5.209
186,6.44672323383095,52.2885055666489,14.363,5.15
187,6.4467367411511,52.2885079088305,15.24,5.464
188,6.44675024847125,52.2885102510121,15.269,5.475
189,6.4467637557914,52.2885125931937,15.502,5.558
190,6.44677726311155,52.2885149353752,16.285,5.839
191,6.4467907704317,52.2885172775568,14.649,5.252
192,6.44680427775184,52.2885196197384,14.764,5.294
193,6.44681778507199,52.28852196192,16.049,5.755
194,6.44683129239214,52.2885243041016,15.654,5.613
195,6.44684479971229,52.2885266462831,15.571,5.583
196,6.44685830703244,52.2885289884647,14.753,5.29
197,6.44687181435259,52.2885313306463,15.761,5.651
198,6.44688532167274,52.2885336728279,15.571,5.583
199,6.44689882899288,52.2885360150095,15.209,5.453
200,6.44691233631303,52.288538357191,14.754,5.29
201,6.44692584363318,52.2885406993726,15.16,5.436
202,6.44693935095333,52.2885430415542,16.067,5.761
203,6.44695285827348,52.2885453837358,14.454,5.183
204,6.44696636559363,52.2885477259174,14.627,5.245
205,6.44697987291377,52.2885500680989,14.729,5.281
206,6.44699338003476,52.2885524109467,14.857,5.327
207,6.44700688654524,52.2885547558369,15.09,5.411
208,6.44702039305571,52.288557100727,15.664,5.616
209,6.44703389956618,52.2885594456172,15.372,5.512
210,6.44704740607666,52.2885617905073,15.138,5.428
211,6.44706091258713,52.2885641353974,15.266,5.474
212,6.44707441909761,52.2885664802876,15.472,5.548
213,6.44708792560808,52.2885688251777,14.117,5.062
214,6.44710143211855,52.2885711700679,15.738,5.643
215,6.44711493862903,52.288573514958,14.624,5.244
216,6.4471284451395,52.2885758598481,14.851,5.325
217,6.44714195164998,52.2885782047383,15.314,5.491
218,6.44715545743381,52.2885805520592,15.072,5.404
219,6.44716896260435,52.2885829014317,15.405,5.524
220,6.4471824677749,52.2885852508043,15.204,5.452
221,6.44719597294545,52.2885876001768,14.953,5.362
222,6.447209478116,52.2885899495493,16.025,5.746
223,6.44722298328655,52.2885922989218,15.546,5.574
224,6.44723648845709,52.2885946482943,15.31,5.489
225,6.44724999362764,52.2885969976668,15.543,5.573
226,6.44726349879819,52.2885993470394,14.724,5.279
227,6.44727700396874,52.2886016964119,16.421,5.888
228,6.44729050913929,52.2886040457844,14.506,5.201
229,6.44730401430984,52.2886063951569,15.215,5.456
230,6.44731751948038,52.2886087445294,14.984,5.373
231,6.44733102465093,52.288611093902,14.965,5.366
232,6.44734452982148,52.2886134432745,14.893,5.34
233,6.44735803499203,52.288615792647,14.71,5.274
234,6.44737154016258,52.2886181420195,15.867,5.689
235,6.44738504533312,52.288620491392,14.463,5.186
236,6.44739855050367,52.2886228407645,15.755,5.649
237,6.44741205567422,52.2886251901371,15.562,5.58
238,6.44742556084477,52.2886275395096,14.961,5.364
239,6.44743906601532,52.2886298888821,15.502,5.558
240,6.44745257118587,52.2886322382546,15.101,5.414
241,6.44746607635641,52.2886345876271,14.551,5.217
242,6.44747958152696,52.2886369369997,14.562,5.221
243,6.44749308669751,52.2886392863722,15.593,5.591
244,6.44750658821816,52.2886416479545,15.567,5.582
245,6.44752008959952,52.2886440100028,15.359,5.507
246,6.44753359098087,52.2886463720511,14.992,5.375
247,6.44754709236223,52.2886487340994,15.115,5.42
248,6.44756059374358,52.2886510961477,15.04,5.393
249,6.44757409512493,52.288653458196,14.209,5.095
250,6.44758759650629,52.2886558202443,15.278,5.478
251,6.44760109788764,52.2886581822926,15.554,5.577
252,6.44761459578899,52.2886605559824,15.292,5.483
253,6.44762808808874,52.2886629484108,16.298,5.844
254,6.4476415803885,52.2886653408393,14.672,5.261
255,6.44765507268825,52.2886677332678,14.879,5.335
256,6.44766856498801,52.2886701256963,15.351,5.504
257,6.44768205728776,52.2886725181247,15.422,5.53
258,6.44769554958752,52.2886749105532,14.166,5.079
259,6.44770904188727,52.2886773029817,15.643,5.609
260,6.44772253418703,52.2886796954101,15.44,5.536
261,6.44773602648679,52.2886820878386,14.053,5.039
262,6.44774951878654,52.2886844802671,15.236,5.463
263,6.44776301108629,52.2886868726956,14.835,5.319
264,6.44777650338605,52.288689265124,15.049,5.396
265,6.44778999568581,52.2886916575525,14.534,5.211
266,6.44780348798556,52.288694049981,15.571,5.583
267,6.44781698028532,52.2886964424094,16.368,5.869
268,6.44783047258507,52.2886988348379,15.493,5.555
269,6.44784396488483,52.2887012272664,14.073,5.046
270,6.44785745701128,52.2887036202746,15.516,5.564
271,6.44787094808987,52.2887060167882,15.239,5.464
272,6.44788443916847,52.2887084133017,14.712,5.275
273,6.44789793024707,52.2887108098152,15.573,5.584
274,6.44791142132566,52.2887132063288,15.888,5.697
275,6.44792491240426,52.2887156028423,14.982,5.372
276,6.44793840348285,52.2887179993559,14.414,5.168
277,6.4479518926622,52.2887204022229,14.203,5.093
