channel,longitude,latitude,pgv_4m_mms,pgv_12m_mms
101,6.44559175939828,52.288250790315,2.121,0.76
102,6.44559344739158,52.2882926710386,2.094,0.751
103,6.44561702133105,52.288261337914,1.947,0.698
104,6.44563552933263,52.2882469515919,2.013,0.722
105,6.44565133944256,52.2882415903779,1.992,0.714
106,6.44565492142166,52.2882771352552,2.109,0.756
107,6.44565711016211,52.2883173408569,2.214,0.794
108,6.44567065826036,52.2883195466258,2.04,0.731
109,6.4456842063586,52.2883217523946,2.027,0.727
110,6.44569771862736,52.2883240780219,1.778,0.637
111,6.44571118705573,52.288326550306,1.892,0.678
112,6.4457246554841,52.2883290225901,2.146,0.769
113,6.44573812391246,52.2883314948742,2.085,0.748
114,6.44575159234083,52.2883339671583,2.04,0.732
115,6.44576505440414,52.2883364607351,1.959,0.702
116,6.44577849308806,52.2883390325217,2.149,0.77
117,6.44579188688971,52.2883417544504,1.979,0.71
118,6.44580514002639,52.2883449469379,2.079,0.745
119,6.44581839316308,52.2883481394254,2.176,0.78
120,6.44583164629976,52.2883513319129,1.961,0.703
121,6.4458450955251,52.2883538684359,2.197,0.788
122,6.44585861435169,52.2883561721256,2.093,0.75
123,6.44587213317827,52.2883584758153,2.058,0.738
124,6.44588565200486,52.288360779505,2.133,0.765
125,6.44589917083144,52.2883630831948,2.079,0.745
126,6.44591268965803,52.2883653868845,2.049,0.735
127,6.44592620848462,52.2883676905742,2.01,0.721
128,6.44593967026445,52.2883701850993,1.997,0.716
129,6.44595318364731,52.2883725069996,1.988,0.713
130,6.44596669703017,52.2883748289,2.209,0.792
131,6.44598021041304,52.2883771508003,2.047,0.734
132,6.4459937237959,52.2883794727006,2.16,0.774
133,6.44600723717876,52.2883817946009,2.013,0.722
134,6.44602075056163,52.2883841165012,1.887,0.677
135,6.44603426394449,52.2883864384015,2.037,0.73
136,6.44604777732735,52.2883887603018,2.237,0.802
137,6.44606129071021,52.2883910822022,2.192,0.786
138,6.44607480409308,52.2883934041025,1.972,0.707
139,6.44608831747594,52.2883957260028,1.937,0.695
140,6.4461018308588,52.2883980479031,2.135,0.766
141,6.44611534424167,52.2884003698034,2.167,0.777
142,6.44612885762453,52.2884026917037,2.098,0.752
143,6.44614240882775,52.2884048870857,2.024,0.726
144,6.4461559627728,52.2884070732956,1.938,0.695
145,6.44616951671785,52.2884092595054,2.054,0.737
146,6.4461830706629,52.2884114457153,2.082,0.747
