band_index_k,nominal_hz,fc_exact_hz,fl_hz,fu_hz,fully_inside,extends_below_f_min,extends_above_f_max
-30,1.0000000000,1.0000000000,0.8912509381,1.1220184543,False,True,False
-29,1.2500000000,1.2589254118,1.1220184543,1.4125375446,True,False,False
-28,1.6000000000,1.5848931925,1.4125375446,1.7782794100,True,False,False
-27,2.0000000000,1.9952623150,1.7782794100,2.2387211386,True,False,False
-26,2.5000000000,2.5118864315,2.2387211386,2.8183829313,True,False,False
-25,3.1500000000,3.1622776602,2.8183829313,3.5481338923,True,False,False
-24,4.0000000000,3.9810717055,3.5481338923,4.4668359215,True,False,False
-23,5.0000000000,5.0118723363,4.4668359215,5.6234132519,True,False,False
-22,6.3000000000,6.3095734448,5.6234132519,7.0794578438,True,False,False
-21,8.0000000000,7.9432823472,7.0794578438,8.9125093813,True,False,False
-20,10.0000000000,10.0000000000,8.9125093813,11.2201845430,True,False,False
-19,12.5000000000,12.5892541179,11.2201845430,14.1253754462,True,False,False
-18,16.0000000000,15.8489319246,14.1253754462,17.7827941004,True,False,False
-17,20.0000000000,19.9526231497,17.7827941004,22.3872113857,True,False,False
-16,25.0000000000,25.1188643151,22.3872113857,28.1838293126,True,False,False
-15,31.5000000000,31.6227766017,28.1838293126,35.4813389234,True,False,False
-14,40.0000000000,39.8107170553,35.4813389234,44.6683592151,True,False,False
-13,50.0000000000,50.1187233627,44.6683592151,56.2341325190,True,False,False
-12,63.0000000000,63.0957344480,56.2341325190,70.7945784384,True,False,False
-11,80.0000000000,79.4328234724,70.7945784384,89.1250938134,True,False,False
-10,100.0000000000,100.0000000000,89.1250938134,112.2018454302,False,False,True
